first_moment,second_moment,third_moment,tcp_cov,udp_peaks,label
-0.437056682,0.540914223,0.526827555,0.039164765,0,0
-0.395252518,0.556206545,0.518903706,0.040045603,0,0
-0.388589877,0.556421863,0.515936313,0.040085698,0,0
-0.407717208,0.544352431,0.516097068,0.039394747,0,0
-0.535431919,0.518732526,0.54967488,0.046911421,0,0
-0.50989313,0.510469277,0.542137945,0.046315184,0,0
-0.432255849,0.508801821,0.521999517,0.046597105,0,0
-0.523437068,0.500722225,0.521591661,0.033379916,0,0
-0.540669756,0.513505363,0.546536096,0.020947756,0,0
-0.569062958,0.514201215,0.547045925,0.020314472,0,0
-0.56905763,0.514230091,0.547077124,0.020465655,0,0
-0.581583675,0.515711736,0.545371549,0.019844979,0,0
-0.39231488,0.554612213,0.513627833,0.016909934,0,0
-0.301700184,0.619620729,0.51778002,0.017585972,0,0
-0.341765972,0.619779375,0.553756737,0.01358446,0,0
-0.35307915,0.613732641,0.554388217,0.013593439,0,0
-0.530692539,0.523918713,0.554942199,0.014242504,0,0
-0.509989866,0.525863285,0.556409566,0.016739358,0,0
-0.306649117,0.638601314,0.545166388,0.01534981,0,0
-0.352803746,0.612207258,0.560695691,0.015054619,0,0
-0.349902622,0.556106483,0.492973584,0.020188091,0,0
-0.360666614,0.552167442,0.495089054,0.019835277,0,0
-0.294896353,0.567259309,0.470843017,0.020555304,0,0
-0.224431261,0.58334369,0.428574188,0.021020475,0,0
-0.160298309,0.631365441,0.424989581,0.021861297,0,0
-0.188316734,0.617647851,0.440901626,0.021968819,0,0
-0.133884389,0.607886248,0.384383506,0.021929573,0,0
0.069369874,0.630159969,-0.348919298,0.021483335,0,0
0.180071377,0.591043922,-0.458759043,0.0202264,0,0
0.248967853,0.606268388,-0.548446132,0.020513706,0,0
-0.315911629,0.626005983,0.519799015,0.005076949,0,0
-0.4457806,0.575486123,0.529472649,0.004896565,0,0
-0.426944912,0.579193593,0.551502163,0.005238506,0,0
-0.380339191,0.589052605,0.54766781,0.005115498,0,0
-0.524923543,0.529216331,0.551926528,0.005810362,0,0
-0.527507156,0.527604615,0.551399691,0.005832228,0,0
-0.56408435,0.517867194,0.547522276,0.005160728,0,0
0.213504387,0.546503409,-0.541832062,0.164974169,1,1
-0.347701064,0.43493045,0.499891339,0.16548646,1,1
-0.353423922,0.436514429,0.500856812,0.165656218,1,1
0.380328525,0.627070754,-0.699511884,0.168838557,2,1
0.288784355,0.611248986,-0.612908094,0.188812405,2,1
0.064903316,0.709973372,-0.524893899,0.209574033,2,1
-0.034469434,0.673367219,-0.325386583,0.235166293,2,1
-0.145971856,0.702061225,0.408440407,0.239814902,3,1
-0.119166536,0.724054468,0.402928749,0.239792742,3,1
-0.217423102,0.673410276,0.519853322,0.24226367,3,1
-0.265179914,0.656129163,0.547791339,0.196207388,3,1
-0.362198857,0.596065561,0.565235787,0.211392752,3,1
-0.396061144,0.590842633,0.576189467,0.241225896,4,1
-0.494920813,0.532436218,0.563353732,0.243089337,3,1
-0.453541336,0.558537883,0.565866834,0.241727979,4,1
-0.425563518,0.560082006,0.5598825,0.215635798,3,1
-0.364600784,0.605722558,0.569795365,0.207207112,3,1
-0.379549143,0.580362523,0.55116132,0.222512771,2,1
-0.358420692,0.585323369,0.547845392,0.234083359,2,1
-0.353124054,0.608535444,0.550334172,0.259265254,3,1
-0.321489562,0.622931401,0.529110456,0.239654281,3,1
-0.325165718,0.635375609,0.533347238,0.25255136,4,1
-0.280725691,0.653770124,0.503366419,0.223013819,3,1
-0.289888669,0.664380497,0.520785073,0.215951891,4,1
-0.422153166,0.56381785,0.553261499,0.221839483,3,1
-0.453465268,0.552342288,0.562354053,0.23388704,3,1
-0.500198492,0.529840621,0.555124846,0.265737261,4,1
-0.521754493,0.524556811,0.556653125,0.253475128,4,1
-0.485684525,0.536177583,0.55043236,0.260384031,5,1
-0.50454628,0.529111236,0.558021852,0.240994705,4,1
-0.42017703,0.575888867,0.564927504,0.232750142,5,1
-0.401969151,0.574556557,0.56381323,0.211887381,4,1
-0.411556357,0.579811741,0.561816093,0.217863268,4,1
-0.497912881,0.534421103,0.552073712,0.246751425,3,1
-0.495852704,0.522572745,0.544606777,0.244644762,3,1
-0.506007012,0.529254051,0.553319136,0.267335324,4,1
-0.467754906,0.53206396,0.541209164,0.234245054,3,1
-0.46522374,0.546206641,0.552157402,0.235957304,4,1
-0.398334527,0.569861151,0.536651665,0.215589294,3,1
-0.400325142,0.583550685,0.552061647,0.212714842,3,1
-0.332211323,0.61880242,0.541977186,0.230235911,2,1
-0.348440356,0.606856218,0.548445846,0.239766428,2,1
-0.339528654,0.615696545,0.546924952,0.261172174,3,1
-0.326154546,0.622223432,0.538202356,0.242675013,3,1
-0.323495815,0.635154889,0.537986081,0.253378103,4,1
-0.281390431,0.655025562,0.511959266,0.223394699,3,1
-0.328038069,0.630719236,0.552189373,0.217031957,4,1
-0.390410169,0.577068482,0.533473627,0.214414698,3,1
-0.441476212,0.556460804,0.551882725,0.226248396,3,1
